"exam_id"	"exam_date"	"exam_year"	"exam_type"
"GLBAEP103100362"	"1771-02-00"	1771	"settlement"
"GLBAEP103100365"	"1771-02-00"	1771	"settlement"
"GLBAEP103100361"	"1771-02-01"	1771	"settlement"
"GLBAEP103100357"	"1771-02-16"	1771	"settlement"
"GLBAEP103110003"	"1771-02-26"	1771	"settlement"
"GLBAEP103110012"	"1771-03-00"	1771	"settlement"
"GLBAEP103110010"	"1771-03-01"	1771	"settlement"
"GLBAEP103110013"	"1771-03-06"	1771	"settlement"
"GLBAEP103110011"	"1771-03-07"	1771	"settlement"
"GLBAEP103110014"	"1771-03-16"	1771	"settlement"
"GLBAEP103110015"	"1771-03-29"	1771	"settlement"
"GLBAEP103110016"	"1771-03-29"	1771	"settlement"
"GLBAEP103110017"	"1771-06-20"	1771	"settlement"
"GLBAEP103110022"	"1771-07-00"	1771	"settlement"
"GLBAEP103110023"	"1771-07-00"	1771	"settlement"
"GLBAEP103110018"	"1771-07-00"	1771	"settlement"
"GLBAEP103110020"	"1771-07-00"	1771	"settlement"
"GLBAEP103110021"	"1771-07-00"	1771	"settlement"
"GLBAEP103110019"	"1771-07-25"	1771	"settlement"
"GLBAEP103110024"	"1771-09-30"	1771	"settlement"
"GLBAEP103110028"	"1771-10-00"	1771	"settlement"
"GLBAEP103110025"	"1771-10-03"	1771	"settlement"
"GLBAEP103110026"	"1771-10-05"	1771	"settlement"
"GLBAEP103110027"	"1771-10-11"	1771	"settlement"
"GLBAEP103110029"	"1771-10-26"	1771	"settlement"
"GLBAEP103110032"	"1771-11-00"	1771	"settlement"
"GLBAEP103110030"	"1771-11-01"	1771	"settlement"
"GLBAEP103110031"	"1771-11-22"	1771	"settlement"
"GLBAEP103110033"	"1771-11-29"	1771	"settlement"
"GLBAEP103110034"	"1771-12-13"	1771	"settlement"
"GLBAEP103110040"	"1772-01-00"	1772	"settlement"
"GLBAEP103110035"	"1772-01-10"	1772	"settlement"
"GLBAEP103110036"	"1772-01-23"	1772	"settlement"
"GLBAEP103110037"	"1772-01-23"	1772	"settlement"
"GLBAEP103110038"	"1772-01-25"	1772	"settlement"
"GLBAEP103110039"	"1772-01-28"	1772	"settlement"
"GLBAEP103110042"	"1772-03-00"	1772	"settlement"
"GLBAEP103110046"	"1772-03-00"	1772	"settlement"
"GLBAEP103110043"	"1772-03-04"	1772	"settlement"
"GLBAEP103110044"	"1772-03-04"	1772	"settlement"
